"Date","Price.A1","Price.A2","AA.bond","BB.bond","CC.Bond","Gold","Silver","Copper","Chy..INR","GBP...INR","USD...INR","Mutual.Fund.J","Mutual.Fund.K","Mutual.Fund.L","Stock.A","Stock.B","Stock.C","Stock.D","Index"
"01-01-2014",9.98306641,9.952922929,70.13991519,59.15088644,46.77703706,28418,43911,468.65,10.2264,85.151,61.91,72,60.61,8.3,104.18,572.35,5001.95,665.15,6301.65
"02-01-2014",10.01756509,9.986858744,70.13587885,59.16822701,46.83557452,28968,45379,469.75,10.2915,85.1355,62.27,71,60.52,8.15,102.95,562.4,4982.85,657,6221.15
"03-01-2014",10.001342,10.00524949,70.14154974,59.20714751,46.79141677,29159,45494,465.5,10.2767,84.507,62.19,71,59.42,8.24,101.65,565,4968.95,663.1,6211.15
"06-01-2014",10.04043985,10.03562817,70.16620026,59.24024199,46.87964684,28974,45410,467,10.2954,84.923,62.315,71,59.28,8.28,102.2,563.5,4985.95,661.7,6191.45
"07-01-2014",10.04565615,10.07963107,70.23851209,59.24697496,46.88883339,28834,44554,465.35,10.2963,84.8345,62.305,71,59.26,8.22,99.95,558.95,4993.1,664.4,6162.25
"08-01-2014",10.07974164,10.09354929,70.22864173,59.27863282,46.92982528,28796,43884,463,10.2731,84.3925,62.165,71,59.29,8.14,97.75,559.15,5074.9,664.7,6174.6
"09-01-2014",10.10212372,10.05527375,70.23599268,59.2989998,46.94389718,28862,44137,455.65,10.2552,84.493,62.095,71,59.44,8.07,99.47,554.15,5042.55,662.95,6168.35
"10-01-2014",10.10920811,10.01389123,70.23954709,59.3334681,46.94279117,29033,44845,457.45,10.2291,84.6245,61.907,71,58.48,8.11,100.18,549.8,5009.05,662.05,6171.45
"13-01-2014",10.055658,9.977096205,70.29385878,59.3886537,47.01651454,29212,45143,457.35,10.1807,84.117,61.525,71,58.23,8.02,103.65,545.7,5055,672.85,6272.75
"14-01-2014",10.0145422,10.01716615,70.29619745,59.37043851,47.01495597,29096,44961,455.5,10.1785,84.115,61.49,71,57.89,8,102.97,538.4,5012.55,672.3,6241.85
"15-01-2014",9.970122468,10.06587303,70.33766304,59.3698166,47.05595295,29019,44822,459.85,10.1852,83.78,61.58,71,58.27,8,104.47,545.2,4937.35,680.55,6320.9
"16-01-2014",10.01222363,10.06757193,70.30262066,59.43470415,47.08512478,29034,44583,456.55,10.1623,83.83,61.54,71,58.5,8,106.03,552.1,4953.05,673.05,6318.9
"17-01-2014",10.01298111,10.12968756,70.3516601,59.42738454,47.07958367,29265,45165,458.65,10.1723,83.338,61.545,70,58.5,7.94,112.25,558.9,4945.75,665,6261.65
"20-01-2014",10.04930239,10.14119515,70.37113125,59.46098352,47.12138542,29288,45056,456.5,10.1814,83.514,61.625,71,58.51,7.93,112,555.1,5059.15,670.05,6303.95
"21-01-2014",10.1806213,10.1666257,70.40373683,59.50987931,47.1827045,29241,44497,461.2,10.2279,83.9255,61.885,71,59.42,8.09,112.53,559.8,5085.75,676.1,6313.8
"22-01-2014",10.13656164,10.10531734,70.39832878,59.54017992,47.174251,29150,44373,457.9,10.216,83.751,61.82,72,59.1,8.04,114.3,566.45,5041.45,677.1,6338.95
"23-01-2014",10.2098071,10.17932391,70.41747326,59.53518436,47.19669146,29355,44937,453.75,10.2339,84.817,61.933,71,59.73,8.01,113.78,567.1,5044.85,679.5,6345.65
"24-01-2014",10.18088408,10.13792682,70.4335916,59.53544589,47.22304147,29519,44723,455.55,10.3648,85.751,62.695,71,58.32,7.88,113.65,565.8,4921.8,673.4,6266.75
"27-01-2014",10.16096435,10.12196649,70.49525437,59.61988929,47.28111078,29798,45241,459.45,10.4339,86.2775,63.105,69,56.05,7.75,111.82,575.25,4840.15,649.2,6135.85
"28-01-2014",10.17745693,10.16704581,70.47531347,59.63851899,47.28779709,29521,44199,453,10.3415,85.534,62.575,69,56.39,7.59,111.75,569.7,4808.15,644.45,6126.25
"29-01-2014",10.13753019,10.16609872,70.4904003,59.62961296,47.3182194,29738,44445,452.8,10.3169,85.3595,62.475,69,56.42,7.55,117.72,569.6,4725.2,645.45,6120.25
"30-01-2014",10.11028199,10.15604255,70.50442024,59.65751663,47.35230453,29378,43260,447.1,10.3226,84.813,62.565,69,55.97,7.64,118.4,570.4,4688.9,631.8,6073.7
"31-01-2014",10.04641836,10.11281875,70.54976267,59.66566415,47.37987674,29462,43356,445,10.3424,84.5435,62.685,69,55.87,7.71,122.65,570.1,4646.1,628.5,6089.5
"03-02-2014",10.09796858,10.06993578,70.55598454,59.72260678,47.42064305,29845,43873,443.65,10.3226,84.619,62.565,69,55,7.74,122.63,569.75,4563.4,626.5,6001.8
"04-02-2014",10.11597437,10.09666008,70.58836999,59.76281434,47.44085711,29688,43586,441.15,10.3168,84.5375,62.53,69,54.68,7.91,121.35,570.25,4555.3,630.6,6000.9
"05-02-2014",10.1066511,10.14166585,70.61506038,59.73391078,47.44869807,31370,44435,441.5,10.3284,84.726,62.6,69,54.98,7.7,118.9,570,4542.95,637.45,6022.4
"06-02-2014",10.1162182,10.09211405,70.57733433,59.76968524,47.48556291,28650,44448,444.25,10.2921,84.774,62.38,69,55.1,7.8,123.07,586.55,4504.05,647,6036.3
"07-02-2014",10.07361507,10.15774725,70.62368382,59.78525732,47.49146723,28754,44393,444.7,10.2756,84.953,62.305,69,55.87,7.84,123.2,577.65,4426,647.75,6063.2
"10-02-2014",10.10208326,10.11544951,70.68871699,59.83198948,47.55428354,28935,44703,444.45,10.3072,85.229,62.455,69,55.83,7.75,124.47,564,4430.9,643.9,6053.45
"11-02-2014",10.12360455,10.11549111,70.66847067,59.85076108,47.57212342,29104,44735,441.9,10.2672,84.8655,62.225,69,56,7.76,129.15,562.45,4417.8,644.8,6062.7
"12-02-2014",10.08876656,10.09395102,70.71938904,59.89605729,47.61484685,29132,44861,445.9,10.2427,84.415,62.095,69,56.03,7.87,128.57,569.45,4437.55,645.45,6084
"13-02-2014",10.107243,10.0718179,70.73247617,59.91600586,47.61320639,29184,44945,446.25,10.295,85.4035,62.425,69,55.43,7.77,122.05,557.25,4818.65,632.5,6001.1
"14-02-2014",10.04770019,10.02898019,70.7293122,59.90011542,47.62813965,29375,46613,445.9,10.1956,84.695,61.855,69,55.12,7.71,120.15,560.25,4849.5,641.8,6048.35
"17-02-2014",10.09971912,10.03423015,70.77244814,59.96666137,47.71318517,30157,47733,447.65,10.1987,84.777,61.845,69,55.57,7.7,120.3,560.25,4904.35,650.4,6073.3
"18-02-2014",10.12677813,10.00519141,70.78285071,59.97536176,47.74435912,30224,48025,451.25,10.2483,85.547,62.18,69,56.01,7.75,119.07,562.25,4920,660.4,6127.1
"19-02-2014",10.16389783,10.04043607,70.80232672,60.00560154,47.73266859,30031,47793,451.4,10.2429,85.474,62.24,70,56.07,7.99,120.3,558.7,4899.9,670.05,6152.75
"20-02-2014",10.21076124,10.09790608,70.77652416,60.00900335,47.74718769,29882,47506,449.75,10.231,85.384,62.24,69,56.01,7.81,118.88,554.05,4901.8,662.75,6091.45
"21-02-2014",10.1929315,10.03114373,70.8150445,60.0073469,47.78296724,29889,47470,450.1,10.2012,85.3775,62.14,70,56.64,7.86,121.57,555.35,4884,664.4,6155.45
"24-02-2014",10.15343916,10.01082988,70.86501142,60.08022888,47.8625474,30120,48013,446.4,10.1789,85.26,62.075,70,57.04,7.94,122,554.9,4820.2,671,6186.1
"25-02-2014",10.11892197,10.06602941,70.84146864,60.12722922,47.87447529,30240,47824,444.5,10.1208,85.2015,61.985,70,57.27,7.99,123.72,554.45,4916.15,671.1,6200.05
"26-02-2014",10.17681378,10.07325961,70.89238091,60.1243768,47.8674734,30042,46646,444.6,10.1204,84.845,61.985,71,57.71,8.04,123.97,554.75,5012.6,677.4,6238.8
"28-02-2014",10.19735522,10.09305636,70.91312828,60.15240745,47.91178535,30090,46377,442.75,10.056,85.293,61.795,71,58.02,8.05,124.05,549.25,5140.3,669.6,6276.95
"03-03-2014",10.20535077,10.09016657,70.97615645,60.19495138,47.97764799,30631,48073,439.8,10.0948,85.219,62.045,71,58.13,8.09,125.03,543.2,5187.05,666.2,6221.45
"04-03-2014",10.13575398,10.07347496,70.9904448,60.24671812,47.97486829,30160,47229,443.65,10.0765,85.079,61.905,71,58.09,8.11,126.38,554.9,5426.1,671.7,6297.95
"05-03-2014",10.16604014,10.04876424,70.98939044,60.26283617,48.03803889,30158,47082,438.9,10.0771,84.805,61.755,72,58.56,8.2,127.57,551.2,5599.15,669.75,6328.65
"06-03-2014",10.25669756,10.04153044,70.9768676,60.28061664,48.07892601,30209,47226,436.6,9.9885,84.7085,61.115,72,59.86,8.31,131.93,549.05,5510.35,675.6,6401.15
"07-03-2014",10.21360143,9.980457494,71.00793475,60.27054393,48.06047158,30130,46231,421.35,9.9714,84.774,61.085,73,61.75,8.35,133.3,550.4,5434.1,711.45,6526.65
"10-03-2014",10.22534262,10.04427565,71.04316096,60.30438578,48.10536635,30123,46004,413.95,9.912,84.435,60.845,73,62.59,8.4,134.13,557.2,5560,734.45,6537.25
"11-03-2014",10.20454906,10.0739442,71.06830689,60.36687813,48.16011273,30247,45931,402.65,9.9256,84.467,60.945,73,62.62,8.39,134.73,560.35,5504.4,725.15,6511.9
"12-03-2014",10.20838449,10.1501056,71.09770964,60.36330794,48.16846888,30472,46790,402.75,9.9625,85.117,61.22,73,61.96,8.34,132.63,560.25,5494,725.55,6516.9
"13-03-2014",10.21776489,10.26705871,71.12134322,60.373524,48.17735362,30549,46771,399.6,9.9696,84.844,61.175,73,61.97,8.4,137.2,561.85,5547.45,742.35,6493.1
"14-03-2014",10.21041545,10.36404969,71.1251401,60.41211618,48.23511977,30595,47106,403.45,9.9516,85.164,61.205,72,62.29,8.25,134.6,553.65,5571.35,732.15,6504.2
"18-03-2014",10.17445515,10.36301126,71.13938129,60.45186387,48.26381038,30205,45861,402,9.8699,85.158,61.115,72,62.37,8.39,134.25,556.05,5564.4,734,6516.65
"19-03-2014",10.11864526,10.30468003,71.19465976,60.49185537,48.28825617,29981,45712,406.35,9.842,84.347,60.975,72,63.33,8.39,130.48,561.6,5740.5,738.45,6524.05
"20-03-2014",10.14733697,10.34682968,71.17036837,60.49618739,48.29939954,29751,45022,400.2,9.8498,84.52,61.34,72,62.1,8.32,126.63,572.55,5726.45,730.2,6483.1
"21-03-2014",10.13675403,10.34006095,71.205522,60.52427029,48.34138767,29742,44679,400.2,9.7831,84.0025,60.9,72,61.95,8.38,121.45,571.7,5763.35,733.85,6493.2
"22-03-2014",10.14598501,10.38748399,71.19674137,60.54463378,48.34804447,29486,29486,399.33,9.79645,84.0578,60.84,73,62.48,8.425,124.35,576.25,5785.75,745.25,6512.6
"24-03-2014",10.11281973,10.42131389,71.20949384,60.59459995,48.41110054,29159,43978,398.45,9.8098,84.113,60.78,73,63.01,8.47,127.38,582.35,5795.35,750.65,6583.5
"25-03-2014",10.10039285,10.40782348,71.25818102,60.60346635,48.41074884,28898,43532,403,9.753,83.633,60.485,73,63.33,8.52,130.55,592.75,5951.5,750.15,6589.75
"26-03-2014",10.11486215,10.38700838,71.26362137,60.60412485,48.43476553,28571,43058,397.05,9.6861,82.898,60.145,73,63.38,8.52,131.3,591.55,5776.75,746.05,6601.4
"27-03-2014",10.12596927,10.37835863,71.30161672,60.62231213,48.44413729,28449,42922,401.35,9.6968,82.78,60.245,74,64.69,8.65,134.38,599.8,5919.15,746.75,6641.75
"28-03-2014",10.0775778,10.38002909,71.28681039,60.66027159,48.48947823,28380,42791,404.55,9.6407,82.3665,59.89,74,64.49,8.69,136.98,599.8,5832.05,744.95,6695.9
"31-03-2014",10.094579,10.37069636,71.32424807,60.7056801,48.53811726,28536,42845,404.15,9.6531,82.6465,60.015,75,65.13,8.9,139.5,605.55,5961.5,748.8,6704.2
"01-04-2014",10.12955252,10.38859216,71.38442812,60.7011965,48.53836379,28080,42622,403.75,9.6691,82.7815,60.015,75,64.93,8.73,136.93,601.75,6049.45,738.1,6721.05
"02-04-2014",10.13245585,10.40607473,71.36018677,60.74735267,48.58311157,28184,43173,404.7,9.6533,82.474,59.905,75,65.23,8.88,138.38,594.6,6135.85,731.9,6752.55
"03-04-2014",10.12179882,10.42181861,71.40503281,60.74269187,48.574597,28435,43052,405.9,9.6881,82.553,60.17,75,65.6,8.84,136.38,606.3,6154.75,728.8,6736.1
"04-04-2014",10.18536283,10.4658723,71.37161019,60.77226155,48.62001904,28464,43013,401.15,9.672,82.3345,60.085,75,65.1,8.95,140.75,605.3,6049.75,725.45,6694.35
"07-04-2014",10.173682,10.42396423,71.44745897,60.84118574,48.67772773,28326,43109,407.55,9.6768,82.604,60.115,75,65.81,8.91,137.18,604.8,6043.25,725.35,6695.05
"09-04-2014",10.18255325,10.55542914,71.48381854,60.82697937,48.72325823,28417,42699,404.15,9.6999,83.334,60.145,75,65.92,9,140.02,609.1,6215.2,741.85,6796.2
"10-04-2014",10.16590158,10.56847937,71.49755392,60.85404777,48.72948417,28781,43506,406.4,9.6699,83.432,60.075,76,66.37,9.13,138.48,617.9,6328.25,739.4,6796.4
"11-04-2014",10.17338564,10.63066217,71.51566862,60.89176691,48.76930865,28756,43204,407.05,9.6887,83.56,60.18,75,66.86,9.12,136.02,609.4,6105.5,738.15,6776.3
"15-04-2014",10.17180538,10.6067356,71.54936693,60.95282235,48.85179915,28573,42304,399.9,9.681,83.209,60.235,75,65.67,9.04,133.43,612.15,6017.55,723.95,6733.1
"16-04-2014",10.23065604,10.58626696,71.53973477,60.95337078,48.88005965,28589,42444,404.65,9.7044,83.414,60.375,75,64.49,9.07,130.5,607.55,6002.2,725.95,6675.3
"17-04-2014",10.18097349,10.55922006,71.57869182,61.01721416,48.87963878,28505,42399,407.35,9.6952,83.2975,60.295,76,65.37,9.05,131.93,609.45,5870.85,718.7,6779.4
"21-04-2014",10.2358704,10.51073105,71.63604978,61.04325116,48.95662817,28527,42042,408.05,9.7304,83.576,60.595,76,65.62,9.24,133,599.1,5974.35,716.45,6817.65
